area_level,area_type,area_name_clean,subdistrict_code,town_village_code,ward_code,num_households,total_population_persons,total_workers_persons,non_workers_persons,literate_population_persons
Village,Rural,Thigala Chowdadenahalli,5545,613208,0,938,3532,1593,1939,2722
Village,Rural,Chikkavaderapura,5545,613209,0,16,44,29,15,34
Village,Rural,Heggondahalli,5545,613210,0,139,652,223,429,451
Village,Rural,Halasahalli Thippasandra,5545,613211,0,243,982,423,559,645
Village,Rural,Chikkanekkundi,5545,613212,0,236,929,375,554,575
Village,Rural,Nekkundi Dommasandra,5545,613213,0,336,1295,451,844,811
Village,Rural,Kathriguppe,5545,613214,0,182,838,308,530,587
Village,Rural,Ramnaikanahalli,5545,613215,0,96,418,175,243,257
Village,Rural,Chambenahalli,5545,613216,0,266,1271,523,748,877
Village,Rural,Yamare,5545,613217,0,510,2184,969,1215,1553
Village,Rural,Sompura,5545,613218,0,311,1160,545,615,784
Village,Rural,Kadagrahara,5545,613219,0,177,720,391,329,466
Village,Rural,Chikkadunnasandra,5545,613220,0,0,0,0,0,0
Village,Rural,B.Hosahalli,5545,613221,0,288,1205,423,782,820
Village,Rural,Bikkanahalli,5545,613222,0,201,845,402,443,552
Village,Rural,Sollepura,5545,613223,0,156,678,271,407,477
Village,Rural,Handenahalli,5545,613224,0,406,1643,658,985,1117
Village,Rural,Kotiganahalli,5545,613225,0,63,249,147,102,149
Village,Rural,Bilchikkanahalli,5545,613226,0,13,49,34,15,8
Village,Rural,S.Medihalli,5545,613227,0,193,797,387,410,507
Village,Rural,Tyayakana Halli,5545,613228,0,245,1142,454,688,840
Village,Rural,Byalahalli,5545,613229,0,0,0,0,0,0
Village,Rural,Adigarakallahalli,5545,613230,0,524,2915,922,1993,1991
Village,Rural,Billapura,5545,613231,0,644,2242,1207,1035,1687
Village,Rural,Buragunte,5545,613232,0,205,716,373,343,523
Village,Rural,Ittangur,5545,613233,0,151,804,290,514,460
Village,Rural,Volagerekallahalli,5545,613234,0,279,1118,479,639,735
Village,Rural,Chikkadasarahalli,5545,613235,0,114,502,264,238,354
Village,Rural,Gonighattapura,5545,613236,0,158,767,358,409,464
Village,Rural,Neriga,5545,613237,0,289,1351,590,761,881
Village,Rural,Janthagondanahalli,5545,613238,0,158,703,314,389,452
Village,Rural,Nagen Agrahara,5545,613239,0,6,18,11,7,13
Village,Rural,Seeganaikanahalli,5545,613240,0,15,55,17,38,39
Village,Rural,Madappanahalli,5545,613241,0,92,413,184,229,234
Village,Rural,Deshapande Guttahalli,5545,613242,0,13,51,24,27,26
Village,Rural,Banahalli,5545,613243,0,103,475,271,204,305
Village,Rural,Mugalur,5545,613244,0,330,1442,557,885,1002
Village,Rural,Kugur,5545,613245,0,191,831,410,421,539
Village,Rural,Kamanahalli,5545,613246,0,139,585,329,256,366
Village,Rural,Kuthaganahalli,5545,613247,0,232,1102,581,521,701
Village,Rural,Doddathimmasandra,5545,613248,0,163,709,366,343,391
Village,Rural,Thindlu,5545,613249,0,253,1079,529,550,742
Village,Rural,Mahal Chowdadenahalli,5545,613250,0,127,591,248,343,397
Village,Rural,Gudighattanahalli,5545,613251,0,10,33,21,12,17
Village,Rural,Panditana Agrahara,5545,613252,0,193,824,355,469,523
Village,Rural,Mattanahalli,5545,613253,0,146,658,258,400,402
Village,Rural,Gollahalli,5545,613254,0,2160,7433,5151,2282,6236
Village,Rural,Veerasandra,5545,613255,0,2595,9190,5726,3464,7156
Village,Rural,Kammasandra,5545,613256,0,2749,9912,5267,4645,7890
Village,Rural,Vaddara Palya,5545,613257,0,1231,4686,2675,2011,3151
Village,Rural,Andapura,5545,613258,0,524,1769,723,1046,1166
Village,Rural,Ramasagara,5545,613259,0,520,2199,1138,1061,1553
Village,Rural,Heelalige,5545,613260,0,1134,4077,2148,1929,3007
Village,Rural,Chandapura,5545,613261,0,1240,4562,2252,2310,3428
Village,Rural,Chandrapura -Chatrakane,5545,613262,0,1695,5934,2529,3405,4822
Village,Rural,Kittaganahalli,5545,613263,0,2064,7280,4073,3207,5465
Village,Rural,Banahalli,5545,613264,0,1673,5819,3032,2787,4476
Village,Rural,Iggalur,5545,613265,0,1272,4702,2226,2476,3607
Village,Rural,Thirumagondanahalli,5545,613266,0,567,2107,1064,1043,1508
Village,Rural,Balagaranahalli,5545,613267,0,1464,5447,3145,2302,4215
Village,Rural,Neralur,5545,613268,0,1500,5608,2797,2811,4292
Village,Rural,Laxmi Sagara,5545,613269,0,216,1007,445,562,641
Village,Rural,Bendiganahalli,5545,613270,0,183,658,317,341,414
Village,Rural,Adigondanahalli,5545,613271,0,324,1354,595,759,925
Village,Rural,Guddahatti,5545,613272,0,380,1635,1040,595,1064
Village,Rural,Yadavanahalli,5545,613273,0,1744,6422,3893,2529,5047
Village,Rural,Krishnasagara,5545,613274,0,141,594,457,137,445
Village,Rural,Itchangur,5545,613275,0,365,1347,823,524,930
Village,Rural,Muthasandra,5545,613276,0,135,540,288,252,258
Village,Rural,Kamblipura,5545,613277,0,134,558,250,308,389
Village,Rural,Mayasandra,5545,613278,0,859,3659,1622,2037,2328
Village,Rural,M.Medihalli,5545,613279,0,162,659,389,270,330
Village,Rural,Halehalli,5545,613280,0,197,864,431,433,577
Village,Rural,Kodlipura,5545,613281,0,198,752,338,414,451
Village,Rural,Dasanapura,5545,613282,0,350,1433,691,742,883
Village,Rural,Bhaktipura,5545,613283,0,81,360,171,189,241
Village,Rural,Arehalli,5545,613284,0,199,851,335,516,540
Village,Rural,Manchanahalli,5545,613285,0,300,1313,673,640,881
Village,Rural,Giddenahalli,5545,613286,0,0,0,0,0,0
Village,Rural,Jigala,5545,613287,0,330,1384,790,594,920
Village,Rural,Arenur,5545,613288,0,159,630,468,162,448
Village,Rural,Bidaraguppe,5545,613289,0,848,3787,1856,1931,2584
Village,Rural,Chikkanahalli,5545,613290,0,70,295,159,136,216
Village,Rural,Indlabele,5545,613291,0,921,3522,1620,1902,2541
Village,Rural,Ballur,5545,613292,0,1291,4572,2726,1846,3094
Village,Rural,Maranaikanahalli,5545,613293,0,158,779,493,286,481
Village,Rural,Lingapura,5545,613294,0,174,895,370,525,600
Village,Rural,Soppahalli,5545,613295,0,117,489,221,268,261
Village,Rural,Kumbaranahalli,5545,613296,0,179,725,306,419,497
Village,Rural,Suragajakkanahalli,5545,613297,0,308,1311,592,719,893
